code,title,type,start_local,end_local,facility,room,topics,tags,path
A29,Boundary Layers: Turbulent: Wall Modeling,ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,370CF,Boundary Layers,Contributed Session,/dfd/2025/events/A29
A30,Suspensions: Fluid-Particle Interaction,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,371AD,Suspensions,Contributed Session,/dfd/2025/events/A30
A31,Bubbles: General,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,371BE,Bubbles,Contributed Session,/dfd/2025/events/A31
A32,Flow Control I: General,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,371CF,Flow Control,Contributed Session,/dfd/2025/events/A32
A33,Particle-Laden Flows: General I,ORAL,2025-11-23 08:00,2025-11-23 09:05,George R. Brown Convention Center,372AD,Particle-Laden Flows,Contributed Session,/dfd/2025/events/A33
A34,Aerodynamics: Control,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,372BE,Aerodynamics,Contributed Session,/dfd/2025/events/A34
A35,Multiphase Flows: Turbulence,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,372CF,Multiphase Flows,Contributed Session,/dfd/2025/events/A35
A36,Energy: Floating Offshore Wind Turbines,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,381A,Energy,Contributed Session,/dfd/2025/events/A36
A37,Multiphase Flows: General I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,381B,Multiphase Flows,Contributed Session,/dfd/2025/events/A37
A38,Astrophysical Fluid Dynamics,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,381C,Astrophysical Fluid Dynamics,Contributed Session,/dfd/2025/events/A38
A11,Low-Order Modeling and Machine Learning in Fluid Dynamics: Methods I,ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,General Assembly Center,Low-Order Modeling and Machine Learning in Fluid Dynamics,Contributed Session,/dfd/2025/events/A11
A13,"Microscale and Nanoscale Flows: Particles, Drops, Bubbles - Biofluidics",ORAL,2025-11-23 08:00,2025-11-23 09:31,George R. Brown Convention Center,General Assembly Left,Microscale and Nanoscale Flows,Contributed Session,/dfd/2025/events/A13
A10,Geophysical Fluid Dynamics: Climate,ORAL,2025-11-23 08:00,2025-11-23 09:18,George R. Brown Convention Center,General Assembly Right,Geophysical Fluid Dynamics,Contributed Session,/dfd/2025/events/A10
B00,Refreshment Break I,MIXED,2025-11-23 09:31,2025-11-23 10:31,George R. Brown Convention Center,Hall B,,Break,/dfd/2025/events/B00
C04,Interact: Interesting Assorted Problems Involving Geophysical Flows,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,310A,Geophysical Fluid Dynamics,Interact Session,/dfd/2025/events/C04
C05,"Interact: Biological Locomotion in Schools, Flocks, and Turbulent Environments",ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,310B,Biological Fluid Dynamics,Interact Session,/dfd/2025/events/C05
C06,Interact: Shock Waves and High-Speed Flows,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,310C,Compressible Flows,Interact Session,/dfd/2025/events/C06
C07,Interact: Particle Laden Flows and Granular Flows,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,320A,Granular Flows,Interact Session,/dfd/2025/events/C07
C09,"Interact: Interfacial Flows Dynamics: Drops, Bubbles, and Jets",ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,320BC,Drops,Interact Session,/dfd/2025/events/C09
C12,Interact: HPC and Turbulence,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,340AB,Computational Fluid Dynamics,Interact Session,/dfd/2025/events/C12
C14,Interact: Wind Energy,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,351ABDE,Energy,Interact Session,/dfd/2025/events/C14
C18,Interact: Aerodynamics I,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,360ABDE,Aerodynamics,Interact Session,/dfd/2025/events/C18
C21,Interact: Turbulence: Wall-Bounded,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,361ABDE,Turbulence,Interact Session,/dfd/2025/events/C21
C27,Interact: Turbulent Boundary Layers I,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,370ABDE,Boundary Layers,Interact Session,/dfd/2025/events/C27
C30,Interact: Biological and Bioinspired Vortex Dynamics; Vortex Rings and Pairs,FOCUS,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,371ABDE,Vortex Dynamics and Vortex Flows,Interact Session,/dfd/2025/events/C30
C33,"Interact: Porous Media: Imbibition, Physical Chemistry, Complex Fluids, and Theoretical Methods",ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,372ABDE,Porous Media Flows,Interact Session,/dfd/2025/events/C33
C36,Interact: Machine Learning for Fluid Mechanics,ORAL,2025-11-23 10:31,2025-11-23 12:31,George R. Brown Convention Center,381ABC,Low-Order Modeling and Machine Learning in Fluid Dynamics,Interact Session,/dfd/2025/events/C36
D00,Lunch Break I (on your own),MIXED,2025-11-23 12:31,2025-11-23 14:00,,,,Break,/dfd/2025/events/D00
D01,Young Investigator Workshop,MIXED,2025-11-23 12:31,2025-11-23 14:00,Marriott Hotel,Houston 1,,Additional Fee; Careers; Community Engagement; Early Career; Graduate Students; Requires Separate Registration; Undergraduate Students; Workshop,/dfd/2025/events/D01
D02,Women in Fluid Dynamics Lunch,MIXED,2025-11-23 12:31,2025-11-23 14:00,Marriott Hotel,Houston 4,,Additional Fee; Community Engagement; Early Career; Graduate Students; Networking; Requires Separate Registration; Undergraduate Students; Workshop,/dfd/2025/events/D02
E04,Interact: Convection and Buoyancy-Driven Flows,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,310A,Convection and Buoyancy-Driven Flows,Interact Session,/dfd/2025/events/E04
E05,Interact: Active Matter: From Microswimmer Dynamics to Collective Behavior,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,310B,Biological Fluid Dynamics,Interact Session,/dfd/2025/events/E05
E06,"Interact: Turbulent Combustion, Hypersonic Reacting Flows and Reduced Order Models",ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,310C,Reacting Flows,Interact Session,/dfd/2025/events/E06
E07,Interact: Non-Newtonian Flows,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,320A,Non-Newtonian Flows: General,Interact Session,/dfd/2025/events/E07
E09,Interact: Multiphase Flow,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,320BC,Multiphase Flows,Interact Session,/dfd/2025/events/E09
E12,Interact: Biomedical  and Physiological Flow Across Scales,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,340AB,,Interact Session,/dfd/2025/events/E12
E14,Interact: Experimental Techniques,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,351ABDE,Experimental Techniques,Interact Session,/dfd/2025/events/E14
E18,Interact: Aerodynamics II,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,360ABDE,Aerodynamics,Interact Session,/dfd/2025/events/E18
E21,Interact: Turbulence: Fundamentals,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,361ABDE,Turbulence,Interact Session,/dfd/2025/events/E21
E27,Interact: Turbulent Boundary Layers II,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,370ABDE,Boundary Layers,Interact Session,/dfd/2025/events/E27
E30,Interact: Vortex Dynamics: Theoretical and Computational Aspects,ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,371ABDE,Vortex Dynamics and Vortex Flows,Interact Session,/dfd/2025/events/E30
E33,"Interact: Porous Media: Multiphase flows, Electrokinetics, and Physiological Flows",ORAL,2025-11-23 14:00,2025-11-23 16:00,George R. Brown Convention Center,372ABDE,Porous Media Flows,Interact Session,/dfd/2025/events/E33
CF01,APS DFD Career Fair (Sunday),MIXED,2025-11-23 16:00,2025-11-23 20:00,George R. Brown Convention Center,Hall A/1,,,/dfd/2025/events/CF01
F00,Refreshment Break II,MIXED,2025-11-23 16:00,2025-11-23 16:40,George R. Brown Convention Center,Hall B,,Break,/dfd/2025/events/F00
G02,Invited Talk: Vanishing or Transforming? The Journey of Classical Instabilities from Continuum to Rarefied Flows,INVITED,2025-11-23 16:40,2025-11-23 17:15,George R. Brown Convention Center,General Assembly Center,Rarefied Flows,Invited Session,/dfd/2025/events/G02
G01,Invited Talk: FATIMA: Fog And Turbulence Interactions in the Marine Atmosphere,INVITED,2025-11-23 16:40,2025-11-23 17:15,George R. Brown Convention Center,General Assembly Left,Geophysical Fluid Dynamics,Invited Session,/dfd/2025/events/G01
G03,Invited Talk: Planktonic Wonders of a Drifting World – Cell Biology of Climate Change,INVITED,2025-11-23 16:40,2025-11-23 17:15,George R. Brown Convention Center,General Assembly Right,Biological Fluid Dynamics,,/dfd/2025/events/G03
H00,Mini-Break I,MIXED,2025-11-23 17:15,2025-11-23 17:25,,,,Break,/dfd/2025/events/H00
J04,Biological Fluid Dynamics: Cardiac Flow I,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,310A,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/J04
J05,Biological Fluid Dynamics: CSF Flows I,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,310B,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/J05
J06,Porous Media Flows II,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,310C,Porous Media Flows,Contributed Session,/dfd/2025/events/J06
J07,Drops: Impact I,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,320A,Drops,Contributed Session,/dfd/2025/events/J07
J08,Drops: General,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,320B,Drops,Contributed Session,/dfd/2025/events/J08
J09,Biological Fluid Dynamics: Ecological Flows II,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,320C,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/J09
J12,Biological Fluid Dynamics: Blood Vessels II,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,340AB,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/J12
J14,Bubbles: Cavitation II,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,351AD,Bubbles,Contributed Session,/dfd/2025/events/J14
J15,Bubbles: Growth and Heat Transfer,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,351BE,Bubbles,Contributed Session,/dfd/2025/events/J15
J16,Suspensions: Rheology,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,351CF,Suspensions,Contributed Session,/dfd/2025/events/J16
J17,Modeling Buoyancy-Driven Turbulence,ORAL,2025-11-23 17:25,2025-11-23 18:30,George R. Brown Convention Center,352DEF,Turbulence,Contributed Session,/dfd/2025/events/J17
J18,Boundary Layers: General,ORAL,2025-11-23 17:25,2025-11-23 18:17,George R. Brown Convention Center,360AD,Boundary Layers,Contributed Session,/dfd/2025/events/J18
J19,Convection and Buoyancy-Driven Flows: Free Convection and Rayleigh-Benard,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,360BE,Convection and Buoyancy-Driven Flows,Contributed Session,/dfd/2025/events/J19
J20,Non-Newtonian Flows: Instability,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,360CF,Non-Newtonian Flows: General,Contributed Session,/dfd/2025/events/J20
J21,CFD: Algorithm II,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,361AD,Computational Fluid Dynamics,Contributed Session,/dfd/2025/events/J21
J22,CFD: Application,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,361BE,Computational Fluid Dynamics,Contributed Session,/dfd/2025/events/J22
J23,Flow Instability: Boundary Layers,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,361CF,Flow Instability,Contributed Session,/dfd/2025/events/J23
J24,Particle-Laden Flows: Deformable Particles,ORAL,2025-11-23 17:25,2025-11-23 18:30,George R. Brown Convention Center,362AD,Particle-Laden Flows,Contributed Session,/dfd/2025/events/J24
J25,Experimental Characterization of Turbulence,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,362BE,Turbulence,Contributed Session,/dfd/2025/events/J25
J26,Low-Order Modeling and Machine Learning in Fluid Dynamics: Methods III,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,362EF,Low-Order Modeling and Machine Learning in Fluid Dynamics,Contributed Session,/dfd/2025/events/J26
J27,Nonlinear Dynamics: Coherent Structures,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,370AD,Nonlinear Dynamics,Contributed Session,/dfd/2025/events/J27
J28,Free-Surface Flows: Instability and Turbulence,ORAL,2025-11-23 17:25,2025-11-23 18:30,George R. Brown Convention Center,370BE,Free-Surface Flows,Contributed Session,/dfd/2025/events/J28
J29,Flow Control II: Actuator Design and Analysis,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,370CF,Flow Control,Contributed Session,/dfd/2025/events/J29
J30,Flow Control III: Theory,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,371AD,Flow Control,Contributed Session,/dfd/2025/events/J30
J31,Geophysical Fluid Dynamics: Sediment Transport,ORAL,2025-11-23 17:25,2025-11-23 18:30,George R. Brown Convention Center,371BE,Geophysical Fluid Dynamics,Contributed Session,/dfd/2025/events/J31
J32,Flow Control IV: Surface Texture,ORAL,2025-11-23 17:25,2025-11-23 18:43,George R. Brown Convention Center,371CF,Flow Control,Contributed Session,/dfd/2025/events/J32
J33,Particle-Laden Flows: Particle-Resolved Simulations,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,372AD,Particle-Laden Flows,Contributed Session,/dfd/2025/events/J33
J34,"Aerodynamics: Fluid-Structure Interactions, Membranes, Flutter",ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,372BE,Aerodynamics,Contributed Session,/dfd/2025/events/J34
J35,Multiphase Flows: Atomization and Sprays,ORAL,2025-11-23 17:25,2025-11-23 18:17,George R. Brown Convention Center,372CF,Multiphase Flows,Contributed Session,/dfd/2025/events/J35
J36,Energy: Tidal and Onshore Wind Turbines,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,381A,Energy,Contributed Session,/dfd/2025/events/J36
J37,Nonlinear Dynamics: Model Reduction,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,381B,Nonlinear Dynamics,Contributed Session,/dfd/2025/events/J37
J38,Rarefied Flows,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,381C,Rarefied Flows,Contributed Session,/dfd/2025/events/J38
J11,Low-Order Modeling and Machine Learning in Fluid Dynamics: Design,ORAL,2025-11-23 17:25,2025-11-23 18:30,George R. Brown Convention Center,General Assembly Center,Low-Order Modeling and Machine Learning in Fluid Dynamics,Contributed Session,/dfd/2025/events/J11
J13,Microscale and Nanoscale Flows: Devices and Applications,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,General Assembly Left,Microscale and Nanoscale Flows,Contributed Session,/dfd/2025/events/J13
J10,Low-Order Modeling and Machine Learning in Fluid Dynamics: Methods II,ORAL,2025-11-23 17:25,2025-11-23 18:56,George R. Brown Convention Center,General Assembly Right,Low-Order Modeling and Machine Learning in Fluid Dynamics,Contributed Session,/dfd/2025/events/J10
5A,Welcome Reception,MIXED,2025-11-23 19:00,2025-11-23 20:30,George R. Brown Convention Center,Avenida Plaza,,Activity; Community Engagement; Early Career; Graduate Students; Networking; Reception; Requires Separate Registration; Undergraduate Students,/dfd/2025/events/5A
K02,GPC Climate Physics Informal Gathering,MIXED,2025-11-23 20:00,2025-11-23 22:00,George R. Brown Convention Center,"The Rustic (1836 Polk St, Houston, TX 77003)",,,/dfd/2025/events/K02
K04,Biological Fluid Dynamics: Medical Devices,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,310A,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/K04
K05,Biological Fluid Dynamics: Physiology,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,310B,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/K05
K06,Low-Order Modeling and Machine Learning in Fluid Dynamics: Other Applications,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,310C,Low-Order Modeling and Machine Learning in Fluid Dynamics,Contributed Session,/dfd/2025/events/K06
K07,Drops: Walking &amp; Migration,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,320A,Drops,Contributed Session,/dfd/2025/events/K07
K08,Drops: Instability and Break-up,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,320B,Drops,Contributed Session,/dfd/2025/events/K08
K09,Biological Fluid Dynamics: Flapping,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,320C,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/K09
K12,Biological Fluid Dynamics: Cilia and Flagella,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,340AB,Biological Fluid Dynamics,Contributed Session,/dfd/2025/events/K12
K11,Low-Order Modeling and Machine Learning in Fluid Dynamics: General I,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,350F,Low-Order Modeling and Machine Learning in Fluid Dynamics,Contributed Session,/dfd/2025/events/K11
K14,Bubbles: Dynamics and Rupture,ORAL,2025-11-24 08:00,2025-11-24 10:23,George R. Brown Convention Center,351AD,Bubbles,Contributed Session,/dfd/2025/events/K14
K15,Compressible Flow: Instability and Turbulence,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,351BE,Compressible Flows,Contributed Session,/dfd/2025/events/K15
K16,Turbulence: Shear and Stratification,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,351CF,Turbulence,Contributed Session,/dfd/2025/events/K16
K17,FLUIDS NEXT: Fluid Mechanics in Energy Harvesting Technologies: from Airfoils to the Sun,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,352DEF,Fluid Mechanics in Energy Harvesting Technologies: from Airfoils to the Sun,Contributed Session,/dfd/2025/events/K17
K18,Aeroacoustics I,ORAL,2025-11-24 08:00,2025-11-24 10:10,George R. Brown Convention Center,360AD,Acoustics,Contributed Session,/dfd/2025/events/K18
K19,"Convection and Buoyancy-Driven Flows: Heat Transfer, Instabilities &amp; Turbulence",ORAL,2025-11-24 08:00,2025-11-24 10:10,George R. Brown Convention Center,360BE,Convection and Buoyancy-Driven Flows,Contributed Session,/dfd/2025/events/K19
K20,Reacting Flows: Computational Methods and Simulations,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,360CF,Reacting Flows,Contributed Session,/dfd/2025/events/K20
K21,CFD: Immersed Boundary Methods,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,361AD,Computational Fluid Dynamics,Contributed Session,/dfd/2025/events/K21
K22,"Quantitative Flow Visualization: PIV, PTV, PLIF",ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,361BE,Experimental Techniques,Contributed Session,/dfd/2025/events/K22
K23,Flow Instability: Multiphase and Interfacial,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,361CF,Flow Instability,Contributed Session,/dfd/2025/events/K23
K24,Particle-Laden Flows: Non-Spherical Particles,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,362AD,Particle-Laden Flows,Contributed Session,/dfd/2025/events/K24
K25,Turbulence: Wall-Bounded,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,362BE,Turbulence,Contributed Session,/dfd/2025/events/K25
K26,Non-Newtonian Flows: General,ORAL,2025-11-24 08:00,2025-11-24 10:23,George R. Brown Convention Center,362EF,Non-Newtonian Flows: General,Contributed Session,/dfd/2025/events/K26
K27,Vortex Flows: Wakes,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,370AD,Vortex Dynamics and Vortex Flows,Contributed Session,/dfd/2025/events/K27
K28,Waves: Surface Waves,ORAL,2025-11-24 08:00,2025-11-24 10:23,George R. Brown Convention Center,370BE,Waves,Contributed Session,/dfd/2025/events/K28
K29,Geophysical Fluid Dynamics: Atmospheric,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,370CF,Geophysical Fluid Dynamics,Contributed Session,/dfd/2025/events/K29
K30,Flow Instability: General Theory,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,371AD,Flow Instability,Contributed Session,/dfd/2025/events/K30
K31,Suspensions: General,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,371BE,Suspensions,Contributed Session,/dfd/2025/events/K31
K32,Flow Separation and Control,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,371CF,Separated Flows,Contributed Session,/dfd/2025/events/K32
K33,Particle-Laden Flows: Particle-Turbulence Interactions,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,372AD,Particle-Laden Flows,Contributed Session,/dfd/2025/events/K33
K34,Aerodynamics: Flapping and Rotating Wings,ORAL,2025-11-24 08:00,2025-11-24 09:57,George R. Brown Convention Center,372BE,Aerodynamics,Contributed Session,/dfd/2025/events/K34
K35,Multiphase Flows: Computational Methods I,ORAL,2025-11-24 08:00,2025-11-24 10:36,George R. Brown Convention Center,372CF,Multiphase Flows,Contributed Session,/dfd/2025/events/K35
K36,CFD: General,ORAL,2025-11-24 08:00,2025-11-24 10:49,George R. Brown Convention Center,381A,Computational Fluid Dynamics,Contributed Session,/dfd/2025/events/K36
